date,sunrise,sunset
01-01,07:16,17:54
01-02,07:17,17:54
01-03,07:17,17:55
01-04,07:17,17:56
01-05,07:17,17:56
01-06,07:18,17:57
01-07,07:18,17:58
01-08,07:18,17:59
01-09,07:18,17:59
01-10,07:18,18:00
01-11,07:18,18:01
01-12,07:18,18:02
01-13,07:18,18:02
01-14,07:18,18:03
01-15,07:18,18:04
01-16,07:18,18:05
01-17,07:18,18:05
01-18,07:18,18:06
01-19,07:18,18:07
01-20,07:18,18:08
01-21,07:18,18:08
01-22,07:17,18:09
01-23,07:17,18:10
01-24,07:17,18:11
01-25,07:17,18:11
01-26,07:16,18:12
01-27,07:16,18:13
01-28,07:16,18:13
01-29,07:15,18:14
01-30,07:15,18:15
01-31,07:15,18:16
02-01,07:14,18:16
02-02,07:14,18:17
02-03,07:13,18:18
02-04,07:13,18:18
02-05,07:12,18:19
02-06,07:12,18:20
02-07,07:11,18:21
02-08,07:10,18:21
02-09,07:10,18:22
02-10,07:09,18:22
02-11,07:09,18:23
02-12,07:08,18:24
02-13,07:07,18:24
02-14,07:07,18:25
02-15,07:06,18:26
02-16,07:05,18:26
02-17,07:04,18:27
02-18,07:04,18:27
02-19,07:03,18:28
02-20,07:02,18:29
02-21,07:01,18:29
02-22,07:00,18:30
02-23,07:00,18:30
02-24,06:59,18:31
02-25,06:58,18:31
02-26,06:57,18:32
02-27,06:56,18:32
02-28,06:55,18:33
03-01,06:54,18:34
03-02,06:53,18:34
03-03,06:53,18:35
03-04,06:52,18:35
03-05,06:51,18:36
03-06,06:50,18:36
03-07,06:49,18:37
03-08,06:48,18:37
03-09,06:47,18:37
03-10,06:46,18:38
03-11,06:45,18:38
03-12,06:44,18:39
03-13,06:43,18:39
03-14,06:42,18:40
03-15,06:41,18:40
03-16,06:40,18:41
03-17,06:39,18:41
03-18,06:38,18:42
03-19,06:37,18:42
03-20,06:36,18:42
03-21,06:35,18:43
03-22,06:34,18:43
03-23,06:33,18:44
03-24,06:32,18:44
03-25,06:31,18:45
03-26,06:30,18:45
03-27,06:29,18:45
03-28,06:27,18:46
03-29,06:26,18:46
03-30,06:25,18:47
03-31,06:24,18:47
04-01,06:23,18:48
04-02,06:22,18:48
04-03,06:21,18:48
04-04,06:20,18:49
04-05,06:19,18:49
04-06,06:18,18:50
04-07,06:17,18:50
04-08,06:16,18:51
04-09,06:15,18:51
04-10,06:14,18:51
04-11,06:13,18:52
04-12,06:12,18:52
04-13,06:12,18:53
04-14,06:11,18:53
04-15,06:10,18:54
04-16,06:09,18:54
04-17,06:08,18:55
04-18,06:07,18:55
04-19,06:06,18:56
04-20,06:05,18:56
04-21,06:04,18:56
04-22,06:03,18:57
04-23,06:03,18:57
04-24,06:02,18:58
04-25,06:01,18:58
04-26,06:00,18:59
04-27,05:59,18:59
04-28,05:59,19:00
04-29,05:58,19:00
04-30,05:57,19:01
05-01,05:56,19:01
05-02,05:56,19:02
05-03,05:55,19:02
05-04,05:54,19:03
05-05,05:53,19:03
05-06,05:53,19:04
05-07,05:52,19:04
05-08,05:52,19:05
05-09,05:51,19:05
05-10,05:50,19:06
05-11,05:50,19:06
05-12,05:49,19:07
05-13,05:49,19:07
05-14,05:48,19:08
05-15,05:48,19:08
05-16,05:47,19:09
05-17,05:47,19:09
05-18,05:46,19:10
05-19,05:46,19:10
05-20,05:45,19:11
05-21,05:45,19:11
05-22,05:45,19:12
05-23,05:44,19:12
05-24,05:44,19:13
05-25,05:44,19:13
05-26,05:43,19:14
05-27,05:43,19:14
05-28,05:43,19:15
05-29,05:43,19:15
05-30,05:43,19:16
05-31,05:42,19:16
06-01,05:42,19:17
06-02,05:42,19:17
06-03,05:42,19:18
06-04,05:42,19:18
06-05,05:42,19:18
06-06,05:42,19:19
06-07,05:42,19:19
06-08,05:42,19:20
06-09,05:42,19:20
06-10,05:42,19:20
06-11,05:42,19:21
06-12,05:42,19:21
06-13,05:42,19:21
06-14,05:42,19:22
06-15,05:42,19:22
06-16,05:42,19:22
06-17,05:42,19:23
06-18,05:42,19:23
06-19,05:43,19:23
06-20,05:43,19:23
06-21,05:43,19:24
06-22,05:43,19:24
06-23,05:43,19:24
06-24,05:44,19:24
06-25,05:44,19:24
06-26,05:44,19:24
06-27,05:45,19:25
06-28,05:45,19:25
06-29,05:45,19:25
06-30,05:46,19:25
07-01,05:46,19:25
07-02,05:46,19:25
07-03,05:47,19:25
07-04,05:47,19:25
07-05,05:47,19:25
07-06,05:48,19:25
07-07,05:48,19:25
07-08,05:49,19:25
07-09,05:49,19:24
07-10,05:49,19:24
07-11,05:50,19:24
07-12,05:50,19:24
07-13,05:51,19:24
07-14,05:51,19:23
07-15,05:52,19:23
07-16,05:52,19:23
07-17,05:53,19:23
07-18,05:53,19:22
07-19,05:53,19:22
07-20,05:54,19:22
07-21,05:54,19:21
07-22,05:55,19:21
07-23,05:55,19:20
07-24,05:56,19:20
07-25,05:56,19:20
07-26,05:57,19:19
07-27,05:57,19:19
07-28,05:58,19:18
07-29,05:58,19:18
07-30,05:59,19:17
07-31,05:59,19:16
08-01,06:00,19:16
08-02,06:00,19:15
08-03,06:00,19:15
08-04,06:01,19:14
08-05,06:01,19:13
08-06,06:02,19:13
08-07,06:02,19:12
08-08,06:03,19:11
08-09,06:03,19:10
08-10,06:04,19:10
08-11,06:04,19:09
08-12,06:05,19:08
08-13,06:05,19:07
08-14,06:05,19:07
08-15,06:06,19:06
08-16,06:06,19:05
08-17,06:07,19:04
08-18,06:07,19:03
08-19,06:08,19:02
08-20,06:08,19:01
08-21,06:08,19:01
08-22,06:09,19:00
08-23,06:09,18:59
08-24,06:10,18:58
08-25,06:10,18:57
08-26,06:10,18:56
08-27,06:11,18:55
08-28,06:11,18:54
08-29,06:12,18:53
08-30,06:12,18:52
08-31,06:12,18:51
09-01,06:13,18:50
09-02,06:13,18:49
09-03,06:13,18:48
09-04,06:14,18:47
09-05,06:14,18:46
09-06,06:15,18:45
09-07,06:15,18:44
09-08,06:15,18:43
09-09,06:16,18:42
09-10,06:16,18:41
09-11,06:16,18:40
09-12,06:17,18:38
09-13,06:17,18:37
09-14,06:17,18:36
09-15,06:18,18:35
09-16,06:18,18:34
09-17,06:18,18:33
09-18,06:19,18:32
09-19,06:19,18:31
09-20,06:20,18:30
09-21,06:20,18:29
09-22,06:20,18:28
09-23,06:21,18:27
09-24,06:21,18:26
09-25,06:21,18:25
09-26,06:22,18:23
09-27,06:22,18:22
09-28,06:23,18:21
09-29,06:23,18:20
09-30,06:23,18:19
10-01,06:24,18:18
10-02,06:24,18:17
10-03,06:25,18:16
10-04,06:25,18:15
10-05,06:25,18:14
10-06,06:26,18:13
10-07,06:26,18:12
10-08,06:27,18:11
10-09,06:27,18:10
10-10,06:27,18:09
10-11,06:28,18:08
10-12,06:28,18:07
10-13,06:29,18:06
10-14,06:29,18:05
10-15,06:30,18:04
10-16,06:30,18:03
10-17,06:31,18:03
10-18,06:31,18:02
10-19,06:32,18:01
10-20,06:32,18:00
10-21,06:33,17:59
10-22,06:33,17:58
10-23,06:34,17:57
10-24,06:34,17:57
10-25,06:35,17:56
10-26,06:35,17:55
10-27,06:36,17:54
10-28,06:37,17:54
10-29,06:37,17:53
10-30,06:38,17:52
10-31,06:38,17:52
11-01,06:39,17:51
11-02,06:39,17:50
11-03,06:40,17:50
11-04,06:41,17:49
11-05,06:41,17:48
11-06,06:42,17:48
11-07,06:43,17:47
11-08,06:43,17:47
11-09,06:44,17:46
11-10,06:45,17:46
11-11,06:45,17:45
11-12,06:46,17:45
11-13,06:47,17:45
11-14,06:47,17:44
11-15,06:48,17:44
11-16,06:49,17:44
11-17,06:49,17:43
11-18,06:50,17:43
11-19,06:51,17:43
11-20,06:52,17:42
11-21,06:52,17:42
11-22,06:53,17:42
11-23,06:54,17:42
11-24,06:54,17:42
11-25,06:55,17:42
11-26,06:56,17:42
11-27,06:57,17:42
11-28,06:57,17:41
11-29,06:58,17:41
11-30,06:59,17:41
12-01,06:59,17:42
12-02,07:00,17:42
12-03,07:01,17:42
12-04,07:02,17:42
12-05,07:02,17:42
12-06,07:03,17:42
12-07,07:04,17:42
12-08,07:04,17:42
12-09,07:05,17:43
12-10,07:06,17:43
12-11,07:06,17:43
12-12,07:07,17:44
12-13,07:07,17:44
12-14,07:08,17:44
12-15,07:09,17:45
12-16,07:09,17:45
12-17,07:10,17:45
12-18,07:10,17:46
12-19,07:11,17:46
12-20,07:11,17:47
12-21,07:12,17:47
12-22,07:12,17:48
12-23,07:13,17:48
12-24,07:13,17:49
12-25,07:14,17:49
12-26,07:14,17:50
12-27,07:15,17:50
12-28,07:15,17:51
12-29,07:15,17:52
12-30,07:16,17:52
12-31,07:16,17:53
